Рік,Країна,Загальна площа угідь (млн га),Угіддя під рослинництво (млн га),Угіддя під тваринництво (млн га),Усього зайнятих (млн осіб),Зайняті в рослинництві (млн осіб),Зайняті в тваринництві (млн осіб)
2014,Україна,"41,51","32,75","8,76",3,"2,25","0,75"
2014,Польща,"14,7","11,02","3,68","1,65","0,99","0,66"
2015,Україна,"41,5","32,74","8,76","2,9","2,17","0,73"
2015,Польща,"14,7","11,02","3,68","1,65","0,99","0,66"
2016,Україна,"41,33","32,61","8,72","2,85","2,14","0,71"
2016,Польща,"14,7","11,02","3,68","1,65","0,99","0,66"
2017,Україна,"41,33","32,61","8,72","2,8","2,1","0,7"
2017,Польща,"14,7","11,02","3,68","1,68","1,01","0,67"
2018,Україна,"41,33","32,61","8,72","2,75","2,06","0,69"
2018,Польща,"14,7","11,02","3,68","1,7","1,02","0,68"
2019,Україна,"41,33","32,61","8,72","2,7","2,02","0,68"
2019,Польща,"14,7","11,02","3,68","1,72","1,03","0,69"
2020,Україна,"41,31","32,59","8,72","2,7","2,02","0,68"
2020,Польща,"14,64","10,98","3,66","1,75","1,05","0,7"
2021,Україна,"41,31","32,7","8,61","2,5","1,88","0,62"
2021,Польща,"14,7","11,02","3,68","1,75","1,05","0,7"
2022,Україна,"32,92","26,04","6,88","2,4","1,8","0,6"
2022,Польща,"14,9","11,17","3,73","1,75","1,05","0,7"